,Year,Area,Count
734,1972,South Asia,1.0
735,1972,South East Asia,22.0
736,1972,South East Europe,1.0
737,1972,South West Asia,1.0
738,1972,South West Europe,1.0
739,1972,Southern Africa,1.0
740,1972,Southern Europe,1.0
741,1972,West Indies,2.0
742,1972,Western Africa,1.0
743,1972,Western Europe,55.0
744,1973,Central Africa,0.0
745,1973,Central America,9.0
746,1973,Central Asia,0.0
747,1973,Central Europe,2.0
748,1973,East Asia,10.0
749,1973,Eastern Africa,0.0
750,1973,Eastern Europe,0.0
751,1973,Indian Ocean,0.0
752,1973,North America,92.0
753,1973,Northern Africa,3.0
754,1973,Northern Asia,0.0
755,1973,Northern Europe,2.0
756,1973,Pacific,9.0
757,1973,South America,5.0
758,1973,South Asia,1.0
759,1973,South East Asia,22.0
760,1973,South East Europe,1.0
761,1973,South West Asia,1.0
762,1973,South West Europe,1.0
763,1973,Southern Africa,1.0
764,1973,Southern Europe,1.0
765,1973,West Indies,3.0
766,1973,Western Africa,1.0
767,1973,Western Europe,57.0
768,1974,Central Africa,0.0
769,1974,Central America,11.0
770,1974,Central Asia,0.0
771,1974,Central Europe,2.0
772,1974,East Asia,12.0
773,1974,Eastern Africa,0.0
774,1974,Eastern Europe,0.0
775,1974,Indian Ocean,0.0
776,1974,North America,101.0
777,1974,Northern Africa,3.0
778,1974,Northern Asia,0.0
779,1974,Northern Europe,2.0
780,1974,Pacific,11.0
781,1974,South America,6.0
782,1974,South Asia,1.0
783,1974,South East Asia,23.0
784,1974,South East Europe,1.0
785,1974,South West Asia,2.0
786,1974,South West Europe,2.0
787,1974,Southern Africa,1.0
788,1974,Southern Europe,1.0
789,1974,West Indies,3.0
790,1974,Western Africa,1.0
791,1974,Western Europe,68.0
792,1975,Central Africa,0.0
793,1975,Central America,12.0
794,1975,Central Asia,1.0
795,1975,Central Europe,2.0
796,1975,East Asia,14.0
797,1975,Eastern Africa,0.0
798,1975,Eastern Europe,0.0
799,1975,Indian Ocean,0.0
800,1975,North America,112.0
801,1975,Northern Africa,3.0
802,1975,Northern Asia,0.0
803,1975,Northern Europe,2.0
804,1975,Pacific,17.0
805,1975,South America,11.0
806,1975,South Asia,1.0
807,1975,South East Asia,24.0
808,1975,South East Europe,1.0
809,1975,South West Asia,3.0
810,1975,South West Europe,2.0
811,1975,Southern Africa,1.0
812,1975,Southern Europe,1.0
813,1975,West Indies,3.0
814,1975,Western Africa,1.0
815,1975,Western Europe,74.0
816,1976,Central Africa,0.0
817,1976,Central America,12.0
818,1976,Central Asia,1.0
819,1976,Central Europe,2.0
820,1976,East Asia,15.0
821,1976,Eastern Africa,0.0
822,1976,Eastern Europe,0.0
823,1976,Indian Ocean,0.0
824,1976,North America,118.0
825,1976,Northern Africa,3.0
826,1976,Northern Asia,0.0
827,1976,Northern Europe,2.0
828,1976,Pacific,21.0
829,1976,South America,13.0
830,1976,South Asia,1.0
831,1976,South East Asia,25.0
832,1976,South East Europe,1.0
833,1976,South West Asia,3.0
834,1976,South West Europe,3.0
835,1976,Southern Africa,2.0
836,1976,Southern Europe,1.0
837,1976,West Indies,3.0
838,1976,Western Africa,1.0
839,1976,Western Europe,84.0
840,1977,Central Africa,0.0
841,1977,Central America,14.0
842,1977,Central Asia,1.0
843,1977,Central Europe,2.0
844,1977,East Asia,15.0
845,1977,Eastern Africa,0.0
846,1977,Eastern Europe,1.0
847,1977,Indian Ocean,0.0
848,1977,North America,131.0
849,1977,Northern Africa,3.0
850,1977,Northern Asia,0.0
851,1977,Northern Europe,5.0
852,1977,Pacific,24.0
853,1977,South America,15.0
854,1977,South Asia,3.0
855,1977,South East Asia,26.0
856,1977,South East Europe,1.0
857,1977,South West Asia,3.0
858,1977,South West Europe,3.0
859,1977,Southern Africa,2.0
860,1977,Southern Europe,1.0
861,1977,West Indies,3.0
862,1977,Western Africa,1.0
863,1977,Western Europe,90.0
